name,code,id
Selangor,slg,15
W.P. Kuala Lumpur,kl,1
Johor,jhr,4
Sabah,sbh,13
Sarawak,srw,14
Negeri Sembilan,ngs,8
Penang,png,10
Kelantan,kel,6
Perak,prk,11
Kedah,kdh,5
Melaka,mlk,7
Pahang,phg,9
Terengganu,tg,16
W.P. Putrajaya,pj,3
Perlis,pls,12
